DATASET,SERIES_CODE,OBS_MEASURE,SCALE,DECIMALS_DISPLAYED,OVERLAP,COMMON_REFERENCE_PERIOD,IFS_FLAG,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
IMF.STA:CPI(4.0.0),NLD.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,102.3410701775137,104.8541039242268,107.4826899105607,108.5317586686926,109.1832185393105,109.5289653980184,111.0420628349423,112.9336620961358,115.9079949411776,117.3828782516127,120.5237155049269,132.5775428316668,137.6663906757531,142.2748323582665
IMF.STA:CPI(4.0.0),SWE.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,102.9611507382214,103.8758344422495,103.8298247499084,103.6433064162858,103.5948171596867,104.6144690839663,106.4917747343422,108.5721291467268,110.5092198464323,111.0588565902685,113.4612788490414,122.9571834354088,133.4683318318194,137.2532489179457
IMF.STA:CPI(4.0.0),ITA.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,102.7806327287932,105.9065652052795,107.198618335037,107.4570178493434,107.4987008560277,107.397634171255,108.7149017743568,109.9515203405339,110.6235956482389,110.4712585784925,112.5412505262237,121.7710847520387,128.6172918865268,129.8807934650122
IMF.STA:CPI(4.0.0),ROU.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,105.7892532881588,109.3172430858252,113.6732207777376,114.8876030226317,114.2049909333888,112.4407560386014,113.9463616118164,119.2169328282924,123.780383348878,127.037135732912,133.4554694786531,151.8663037478349,167.6561280621276,177.2484154024783
IMF.STA:CPI(4.0.0),AUT.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,103.2865791487538,105.8539484672147,107.9711927476181,109.7050069332599,110.6885818023683,111.6754720688494,113.9997391767711,116.2778869528291,118.057980056249,119.6894358363636,123.0008435611697,133.5135656754636,143.9464948325332,148.1755215654181
IMF.STA:CPI(4.0.0),DEU.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,102.0751728373587,104.1253413001998,105.6921395745711,106.6505495551639,107.1991878574636,107.7263366568302,109.3524601619397,111.2466293563487,112.8548771211913,113.0183789263444,116.4842758800857,124.4897443873684,131.8924482070439,134.8685988521043
IMF.STA:CPI(4.0.0),LUX.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,103.4106834106834,106.1643461643462,108.005278005278,108.6841386841387,109.2001092001092,109.5176995176995,111.4132314132313,113.1158431158431,115.0878150878151,116.0314860314861,118.963508963509,126.5010465010465,131.2339612339612,133.9257439257439
IMF.STA:CPI(4.0.0),DNK.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,102.7586822605125,105.2227479689314,106.0530309793769,106.6511918578699,107.1332916703866,107.4011248995626,108.633157753772,109.5170074100527,110.3472904204982,110.8115346844033,112.8649227747523,121.5516471743595,125.569145611999,127.2922060530309
IMF.STA:CPI(4.0.0),USA.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,103.156841568622,105.2915045328674,106.833848874866,108.5669321189636,108.6957219606935,110.0670089342698,112.4115573023076,115.1573032247906,117.2441954762282,118.6905015771978,124.2664138258379,134.2112061684602,139.7357935632595,143.8573360146079
IMF.STA:CPI(4.0.0),CHE.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,100.2313492076509,99.53719497593919,99.32087760330382,99.30776472594992,98.17177459300054,97.74510173755874,98.26685320465928,99.18696060068292,99.54689637300594,98.82431040534284,99.39928424519352,102.2172817718704,104.4000305065064,105.509114228825
