"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2015-M01","2015-M02","2015-M03","2015-M04","2015-M05","2015-M06","2015-M07","2015-M08","2015-M09","2015-M10","2015-M11","2015-M12","2016-M01","2016-M02","2016-M03","2016-M04","2016-M05","2016-M06","2016-M07","2016-M08","2016-M09","2016-M10","2016-M11","2016-M12","2017-M01","2017-M02","2017-M03","2017-M04","2017-M05","2017-M06","2017-M07","2017-M08","2017-M09","2017-M10","2017-M11","2017-M12","2018-M01","2018-M02","2018-M03","2018-M04","2018-M05","2018-M06","2018-M07","2018-M08","2018-M09","2018-M10","2018-M11","2018-M12","2019-M01","2019-M02","2019-M03","2019-M04","2019-M05","2019-M06","2019-M07","2019-M08","2019-M09","2019-M10","2019-M11","2019-M12","2020-M01","2020-M02","2020-M03","2020-M04","2020-M05","2020-M06","2020-M07","2020-M08","2020-M09","2020-M10","2020-M11","2020-M12","2021-M01","2021-M02","2021-M03","2021-M04","2021-M05","2021-M06","2021-M07","2021-M08","2021-M09","2021-M10","2021-M11","2021-M12","2022-M01","2022-M02","2022-M03","2022-M04","2022-M05","2022-M06","2022-M07","2022-M08","2022-M09","2022-M10","2022-M11","2022-M12","2023-M01","2023-M02","2023-M03","2023-M04","2023-M05","2023-M06","2023-M07","2023-M08","2023-M09","2023-M10","2023-M11","2023-M12","2024-M01","2024-M02","2024-M03","2024-M04","2024-M05","2024-M06","2024-M07","2024-M08","2024-M09","2024-M10","2024-M11","2024-M12"
"IMF.STA:ER(4.0.1)","HTI.XDC_USD.PA_RT.M","OBS_VALUE","Haiti","Domestic currency per US Dollar","Period average","Monthly","Units","46.7771200873273","46.9993","47.1302","47.2568","47.7292","49.4114","54.9476","52.0505","51.8112","52.8513","54.9699","56.5426","58.1564","60.462","61.6736","61.8248","62.0701","62.5849","63.3313","64.3614","65.6480476784863","65.8973727602223","66.764","67.2559","67.6136","68.1076","68.9996681818182","68.8413","64.138","62.2021","62.479","62.6051","62.764","62.8452952380952","63.1226","63.5179","63.7604","64.0489","64.8006","65.4084","65.8572","66.4582","67.2508","68.4561","69.4589613465804","71.1067865614283","73.4567998673658","76.3179","78.3094","82.3651","82.3942389722703","85.3255","88.555","92.7264744468375","93.8223","93.3044807039242","93.3498","92.0898","91.6717","91.8658","92.1846117296677","93.774975042921","96.6758","99.9428032575678","106.3148","110.5277","116.765192861684","119.6734","86.7989213491195","63.9816","64.2699","71.2079823224955","72.4625","74.0551920031339","77.4320343097496","82.7629740555582","88.099795395562","91.2207153797345","93.6844269958265","96.2275","97.4018","98.5375","98.7236","100.1116","101.2078","102.252081319783","104.39290394729","106.228600993884","109.1429","112.6245","113.6156","121.3316","116.4788","122.11","135.0741","143.1097","146.8516","149.3434","155.698968006692","153.328002754981","143.124581664595","138.1401","137.0467","135.9164","134.732","133.6307","132.6199","131.9986","131.6016","131.8092","132.6134","132.2993","132.5137","132.2773","131.7522","131.5083","132.592","131.2536","130.9365","130.5748"
"IMF.STA:ER(4.0.1)","MMR.XDC_USD.PA_RT.M","OBS_VALUE","Myanmar","Domestic currency per US Dollar","Period average","Monthly","Units","1028.8","1030.2963","1033.89285714286","1065.78125","1094.675","1112.22727272727","1195.88636363636","1233.447","1285.4048","1281.65","1288.3685","1300.9546","1297.15","1247.3737","1216.0477","1177.0","1170.9546","1184.2046","1178.075","1196.0","1233.5476","1273.3572","1295.2","1349.5238","1351.19047619048","1357.45","1360.71428571429","1356.9375","1362.61904761905","1360.09523809524","1363.94736842105","1361.13043478261","1357.71428571429","1362.61111111111","1365.78947368421","1364.10526315789","1345.71428571429","1330.73684210526","1336.473684","1330.444444","1347.045455","1365.666667","1410.6","1472.40909090909","1551.5","1530.78947368421","1570.2105","1566.10526","1532.6667","1526.4684","1523.8474","1517.3056","1533.9364","1525.105","1510.6667","1516.281","1532.981","1515.2778","1515.2778","1469.2476","1517.31","1448.65","1402.0","1423.89","1404.71","1396.38","1371.76","1358.4","1322.46","1293.4","1299.69","1340.78","1331.3","1407.9","1432.1","1536.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","LKA.XDC_USD.PA_RT.M","OBS_VALUE","Sri Lanka","Domestic currency per US Dollar","Period average","Monthly","Units","131.550752631579","132.729282352941","132.898952380952","132.899257894737","133.496026315789","133.895223809524","133.686004545455","133.882933333333","138.876928571429","140.8945","142.024763157895","143.448328571429","143.940255","143.928363157895","143.959375","143.900133333333","145.65022","145.283572727273","145.406994736842","145.600954545455","145.78488","146.8723","147.770966666667","148.881994736842","150.094580952381","150.817305555556","151.427495652174","151.759517647059","152.334425","152.83072","153.666004761905","153.192954545455","152.897384210526","153.526155","153.659871428571","153.150552631579","153.801585","154.857866666667","155.728835","156.1354","157.899366666667","159.071057894737","159.337457142857","160.353863636364","164.415257894737","171.224877272727","176.849642105263","180.09797","182.127736363636","178.733061111111","178.429757894737","174.801185","176.444685714286","176.588863157895","175.990172727273","177.97049","180.77518","181.45112173913","180.372936842105","181.25391","181.403642857143","181.5628","185.05668","193.085405555556","187.865047058824","185.954523809524","185.848695652174","184.893855","185.031728571429","184.43791","184.7882","187.182204761905","190.491805263158","194.066505555556","196.982536363636","197.423044444444","199.584716666667","199.816061904762","199.97777","200.496527272727","201.985842857143","201.089857894737","201.85816","201.398973913043","201.46467368421","201.7362","255.808061904762","319.440433333333","358.939031578947","360.24280952381","360.87241","360.998277272727","362.382572727273","363.148421052632","363.394","363.1652","362.4228","361.9766","329.4709","321.4244","310.1639","301.2612","319.2903","321.5764","322.7693","324.7303","328.25","326.7423","321.1706","312.5801","305.665","299.4232","299.6923","303.8121","303.7559","300.6683","301.1505","","",""
"IMF.STA:ER(4.0.1)","BDI.XDC_USD.PA_RT.M","OBS_VALUE","Burundi","Domestic currency per US Dollar","Period average","Monthly","Units","1553.52","1554.43","1555.55","1556.35","1558.12","1563.15","1570.22","1575.52","1580.07","1583.82","1598.01","1614.02","1622.5","1629.12","1634.53","1641.0","1645.9","1650.56","1656.82","1663.75","1675.1","1669.99","1680.27","1685.98","1692.02","1698.68","1704.91","1711.53","1717.64","1724.93","1732.44","1740.14","1747.44","1753.93","1759.9","1765.1","1768.18","1771.05","1774.05","1776.28","1777.69","1778.768","1780.37","1783.0286","1787.002","1793.0914","1799.649","1805.3635","1811.945","1818.9047","1824.886","1831.1019","1837.0362","1842.417895","1848.42863636364","1854.387143","1860.402857","1866.688571","1872.6915","1878.584286","1884.779545","1890.428947","1895.9724","1901.902857","1907.1406","1912.316667","1917.98381","1923.548","1929.072273","1934.2065","1939.145238","1944.057273","1948.719","1953.04","1958.306957","1963.385238","1968.3185","1973.448095","1978.55","1983.533182","1988.670909","1993.51","1998.38","2003.54869565217","2008.65761904762","2013.3115","2017.983478","2022.6005","2026.924","2031.348571","2035.9965","2040.95045454545","2046.20363636364","2051.03315789474","2055.76428571429","2060.90590909091","2066.48590909091","2071.28158","2076.279565","2081.40556","2714.8233","2824.8555","2829.65952380952","2835.07","2840.33238095238","2844.95904761905","2849.52761904762","2853.941","2858.58090909091","2863.0855","2867.655714","2872.47571","2877.48523809524","2882.511","2887.47","2892.6819047619","","","",""
"IMF.STA:ER(4.0.1)","YEM.XDC_USD.PA_RT.M","OBS_VALUE","Yemen, Republic of","Domestic currency per US Dollar","Period average","Monthly","Units","215.0","215.0","215.0","225.0","225.0","225.0","225.0","245.0","245.0","245.0","245.0","245.0","251.0","260.0","265.0","271.0","288.0","283.75","285.25","315.75","287.0","292.5","303.75","303.75","313.25","352.5","348.25","358.75","367.5","356.75","364.75","372.5","370.0","391.5","433.75","443.75","441.5","476.25","473.0","490.75","490.0","488.75","499.25","548.25","634.6","739.032258064516","628.766666666667","520.645161290323","549.838709677419","588.928571428571","576.58064516129","517.7","542.032258064516","564.966666666667","579.806451612903","598.193548387097","613.633333333333","598.741935483871","577.833333333333","603.193548387097","646.967741935484","658.172413793103","659.838709677419","671.833333333333","699.0","736.9","757.225806451613","781.645161290323","818.521739130435","824.45","849.6","811.916666666667","784.645161290323","861.982142857143","887.844827586207","869.933333333333","907.72","932.4","979.590909090909","1014.15517241379","1102.7","1271.83333333333","1512.13333333333","1212.35483870968","1096.92307692308","1123.94642857143","1240.75806451613","965.466666666667","992.951612903226","1092.83333333333","1131.75806451613","1146.06451612903","1132.41666666667","1141.35483870968","1147.21666666667","1168.33870967742","1231.35483870968","1234.23214285714","1241.79032258065","1189.18333333333","1273.24193548387","1348.71666666667","1404.88709677419","1411.03225806452","1441.53571428571","1458.46774193548","1509.19642857143","1517.75806451613","1544.43548387097","1634.38888888889","1645.91176470588","1680.081","1710.85483870968","","","","","","",""
"IMF.STA:ER(4.0.1)","SLE.XDC_USD.PA_RT.M","OBS_VALUE","Sierra Leone","Domestic currency per US Dollar","Period average","Monthly","Units","4.93085","4.90698","4.87926","4.85578","4.84541","4.88499","4.89939","5.00281","5.2926","5.3773","5.48489","5.60871","5.6729","5.77845","5.87034","6.02347","6.09336047619048","6.10320795454546","6.10399875","6.21618826086957","6.42900452380952","6.80915357142857","7.14429886363636","7.23919657894737","7.26165880952381","7.25307342105263","7.25101954545455","7.26680264705882","7.29936022727273","7.33315952380952","7.38138190476191","7.450595","7.5025315","7.53376409090909","7.53838","7.54146","7.54001","7.57219725","7.61183394736842","7.64107789473684","7.67094090909091","7.695474","7.87049113636363","8.21297022727273","8.249625","8.29215152173913","8.39302095238095","8.42978815789473","8.4372375","8.52466684210526","8.62399325","8.69792949999999","8.76536045454546","8.82684473684211","8.90678347826087","9.11971404761905","9.35746619047619","9.52577347826087","9.62556299999999","9.71132125","9.72576340909091","9.75095710526316","9.76305","9.71360352941176","9.77195588235294","9.74241159090909","9.76918977272727","9.80346619047619","9.83961","9.94657","10.037620952381","10.0949227272727","10.187757","10.2078065789474","10.21071","10.22451","10.2384686842105","10.25134","10.263919047619","10.3071234090909","10.4772695454545","10.68275275","10.9968418181818","11.224605","11.35249325","11.5407471052632","11.7439725","12.23991","12.8416178571429","13.1203","13.73075","13.98","14.7460068181818","16.6721","17.9585","18.6454","19.1679","19.8049","20.4883727272727","21.6406375","22.4671","20.8803904761905","20.1576428571429","21.3875434782609","22.2243142857143","22.509","22.2079","22.7228","22.6945","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","LAO.XDC_USD.PA_RT.M","OBS_VALUE","Lao People's Democratic Republic","Domestic currency per US Dollar","Period average","Monthly","Units","8106.28571428571","8099.9","8107.61904761905","8102.52631578947","8088.1","8109.86363636364","8136.04545454545","8180.80952380952","8150.27272727273","8140.04761904762","8156.71428571429","8153.14285714286","8151.05","8129.66666666667","8124.59090909091","8117.41176470588","8111.09523809524","8107.45454545455","8096.2","8091.13043478261","8097.95454545455","8125.15","8159.36363636364","8181.33333333333","8176.34636033527","8195.3","8203.0","8206.11764705882","8200.13636363636","8232.77272727273","8261.0","8280.4347826087","8286.80952380952","8297.61904761905","8299.18181818182","8299.4","8287.31818181818","8280.65","8289.7619047619","8297.16666666667","8333.59090909091","8380.57142857143","8420.13636363636","8470.52173913043","8490.25","8510.0","8526.0","8530.05","8538.90909090909","8554.8","8564.4","8590.31578947369","8615.77272727273","8635.25","8660.60869565217","8699.40909090909","8786.52380952381","8809.68181818182","8839.57142857143","8857.66666666667","8867.72727272727","8881.35","8895.52380952381","8949.27777777778","8974.75","8999.22727272727","9033.60869565217","9072.85714285714","9128.72727272727","9224.38095238095","9254.52380952381","9267.5","9295.2","9324.3","9361.68181818182","9390.78947368421","9408.95","9442.59090909091","9502.36363636364","9565.31818181818","9649.5","10027.25","10496.6818181818","10910.3636363636","11158.65","11285.75","11390.3636363636","11803.5555555556","12868.0952380952","14530.5454545455","14833.5238095238","15032.6086956522","15751.4090909091","16545.55","16614.9545454545","16607.7142857143","16302.3333333333","16206.75","16233.9545454545","16485.8235294118","16862.3181818182","17591.2727272727","17908.5238095238","18197.6086956522","18653.7619047619","19237.6818181818","19328.4545454545","19258.0","19273.5454545455","19448.5238095238","19542.45","19821.1111111111","19939.1363636364","20355.1","20656.96","20637.95","","","",""
"IMF.STA:ER(4.0.1)","ETH.XDC_USD.PA_RT.M","OBS_VALUE","Ethiopia, The Federal Democratic Republic of","Domestic currency per US Dollar","Period average","Monthly","Units","20.139585","20.2126","20.2914","20.3708","20.4453","20.5238","20.6118","20.6978","20.7799","20.8639","20.9498","21.0355","21.1176","21.1976","21.3025","21.4293","21.5641666666667","21.7205","21.8453","21.9216","22.0116","22.1069","22.2168","22.3447","22.4721","22.5828","22.6948","22.8067","22.916065","23.0447227272727","23.1539","23.2486","23.3438","25.8431","27.0978657616778","27.1888","27.2145","27.2259","27.2345","27.2428","27.2484","27.2568","27.3186","27.4302","27.5398","27.66523913","27.8117","27.9642","28.1238","28.2718","28.4133","28.5607","28.705","28.846","28.9732","29.0943","29.2167","29.356","29.8168","31.4594","31.9427","32.1731","32.528","33.1908","33.8599666666667","34.5012181818182","35.1278","35.6843","36.5192","37.1586","37.8053","38.635","39.3287210526316","39.68547","40.6657954545455","41.6436857142857","42.5443611111111","43.3970428571429","44.0097","44.9143136363636","45.8086","46.6841","47.56465","48.5589","49.5090842105263","50.38922","50.8875","51.202","51.4876","51.7926","52.0718761904762","52.3089","52.5297","52.7413","52.9601","53.1947","53.4081190476191","53.6174","53.8283","54.0392","54.241","54.4559","54.682619047619","54.933","55.16195","55.3721841711903","55.6229045454546","55.8488","56.094947826087","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SDN.XDC_USD.PA_RT.M","OBS_VALUE","Sudan","Domestic currency per US Dollar","Period average","Monthly","Units","5.97219325","5.97219325","5.97219325","5.97219325","5.97219325","5.97219325","6.014167925","6.09229275","6.09229275","6.09229275","6.09229275","6.09229275","6.09229275","6.09229275","6.09229275","6.09229275","6.09229275","6.0923","6.0923","6.0923","6.2141","6.4969","6.4969","6.5943","6.68336","6.68336","6.68336","6.68336","6.68336","6.68336","6.68336","6.68336","6.68336","6.68336","6.68336","6.68336","10.8352723","17.99998775","17.99998775","17.99998775","17.99998775","17.99998775","17.99998775","17.99998775","17.99998775","42.1117565217391","47.5","47.5","47.5","47.5","47.5","46.7045454545455","45.0","45.0","45.0","45.0","45.0","45.0","45.0","45.0","46.2571428571429","51.695","55.0","55.0","55.0","55.0","55.0","55.0","55.0","55.0","55.0","55.0","55.0","151.25","379.04","381.867","406.5878","434.7006","446.2846","443.0183","439.5587","438.9804","436.9156","436.284","437.3141","441.9446","550.7384","563.3895","563.8893","565.8664","565.5528","568.3662","573.324","575.9012","577.017","577.8027","580.1644","586.2741","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","IRN.XDC_USD.PA_RT.M","OBS_VALUE","Iran, Islamic Republic of","Domestic currency per US Dollar","Period average","Monthly","Units","27371.6666666667","27599.9230769231","27939.2222222222","28256.0","28561.5625","29106.1875","29508.6470588235","29798.3125","29955.625","29954.0","29974.1875","30112.5625","30172.7333333333","30186.0666666667","30225.2","30290.25","30374.9375","30546.9411764706","30893.7692307692","31078.5789473684","31365.4285714286","31649.8571428571","31951.4666666667","32243.0","32367.1538461538","32384.7857142857","32416.7692307692","32425.6","32444.7777777778","32468.6153846154","32638.3571428571","","","","","","","","","","","","","","","","","","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","42000.0","","","","","","",""
